,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
0,"McEachin, A. Donald",A. Donald,McEachin,Donald McEachin,/candidate/8230/donald-mceachin,House,Virginia,Democratic,2017,2022,success
1,"Ferguson, A. Drew",A. Drew,Ferguson,Drew Ferguson,/candidate/168132/drew-ferguson,House,Georgia,Republican,2017,2025,success
2,"Bean, Aaron",Aaron,Bean,Aaron Bean,/candidate/53932/aaron-bean,House,Florida,Republican,2023,9999,success
3,"Schock, Aaron",Aaron,Schock,Aaron Schock,/candidate/33428/aaron-schock,House,Illinois,Republican,2009,2015,success
4,"Finkenauer, Abby",Abby,Finkenauer,Abby Finkenauer,/candidate/151127/abby-finkenauer,House,Iowa,Democratic,2019,2021,success
5,"Spanberger, Abigail Davis",Abigail Davis,Spanberger,Abigail Spanberger,/candidate/179682/abigail-spanberger,House,Virginia,Democratic,2019,2025,success
6,"Hamadeh, Abraham J.",Abraham J.,Hamadeh,Abraham Hamadeh,/candidate/205532/abraham-hamadeh,House,Arizona,Republican,2025,9999,success
7,"Gray, Adam",Adam,Gray,Adam Gray,/candidate/138552/adam-gray,House,California,Democratic,2025,9999,success
8,"Kinzinger, Adam",Adam,Kinzinger,Adam Kinzinger,/candidate/116559/adam-kinzinger,House,Illinois,Republican,2011,2023,success
9,"Schiff, Adam B.",Adam B.,Schiff,Adam Schiff,/candidate/9489/adam-schiff,"House,Senate",California,Democratic,2001,9999,success
10,"Putnam, Adam H.",Adam H.,Putnam,Adam Putnam,/candidate/12913/adam-putnam,House,Florida,Republican,2001,2011,success
11,"McDowell, Addison P.",Addison P.,McDowell,Addison McDowell,/candidate/213685/addison-mcdowell,House,North Carolina,Republican,2025,9999,success
12,"Smith, Adrian",Adrian,Smith,Adrian Smith,/candidate/21284/adrian-smith,House,Nebraska,Republican,2007,9999,success
13,"Espaillat, Adriano",Adriano,Espaillat,Adriano Espaillat,/candidate/14379/adriano-espaillat,House,New York,Democratic,2017,9999,success
14,"Franken, Al",Al,Franken,Al Franken,/candidate/108924/al-franken,Senate,Minnesota,Democratic,2009,2018,success
15,"Green, Al",Al,Green,Al Green,/candidate/49680/al-green,House,Texas,Democratic,2005,9999,success
16,"Swift, Al",Al,Swift,Al Swift,/candidate/27123/al-swift,House,Washington,Democratic,1979,1995,success
17,"Lawson, Al, Jr.","Al, Jr.",Lawson,"Al Lawson, Jr.",/candidate/24263/al-lawson-jr,House,Florida,Democratic,2017,2023,success
18,"Grayson, Alan",Alan,Grayson,Alan Grayson,/candidate/68184/alan-grayson,House,Florida,Democratic,2009,2017,success
19,"Nunnelee, Alan",Alan,Nunnelee,Alan Nunnelee,/candidate/8326/alan-nunnelee,House,Mississippi,Republican,2011,2015,success
20,"Wheat, Alan",Alan,Wheat,Alan Wheat,/candidate/26937/alan-wheat,House,Missouri,Democratic,1983,1995,success
21,"Mollohan, Alan B.",Alan B.,Mollohan,Alan Mollohan,/candidate/27130/alan-mollohan,House,West Virginia,Democratic,1983,2011,success
22,"Lowenthal, Alan S.",Alan S.,Lowenthal,Alan Lowenthal,/candidate/16469/alan-lowenthal,House,California,Democratic,2013,2023,success
23,"Bustamante, Albert G.",Albert G.,Bustamante,Albert Bustamante,/candidate/15359/albert-bustamante,House,Texas,Democratic,1985,1993,success
24,"Smith, Albert L., Jr.","Albert L., Jr.",Smith,Albert Alan Smith,/candidate/22007/albert-alan-smith,House,Alabama,Republican,1981,1983,success
25,"Wynn, Albert Russell",Albert Russell,Wynn,Albert Wynn,/candidate/26889/albert-wynn,House,Maryland,Democratic,1993,2008,success
26,"Gore, Albert, Jr.","Albert, Jr.",Gore,"Albert Gore, Jr.",/candidate/135350/albert-gore-jr,"House,Senate",Tennessee,Democratic,1977,1993,success
27,"Sires, Albio",Albio,Sires,Albio Sires,/candidate/22510/albio-sires,House,New Jersey,Democratic,2005,2023,success
28,"Hastings, Alcee L.",Alcee L.,Hastings,"Alcee Hastings, Sr.",/candidate/26798/alcee-hastings-sr,House,Florida,Democratic,1993,2021,success
29,"Padilla, Alex",Alex,Padilla,Alex Padilla,/candidate/59742/alex-padilla,Senate,California,Democratic,2021,9999,success
30,"Ocasio-Cortez, Alexandria",Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,/candidate/180416/alexandria-ocasio-cortez,House,New York,Democratic,2019,9999,success
31,"D'Amato, Alfonse",Alfonse,D'Amato,Alfonse D'Amato,/candidate/53328/alfonse-damato,Senate,New York,Republican,1981,1999,success
32,"McCandless, Alfred A. (Al)",Alfred A. (Al),McCandless,Al McCandless,/candidate/26770/al-mccandless,House,California,Republican,1983,1995,success
33,"Boyd, Allen",Allen,Boyd,"Allen Boyd, Jr.",/candidate/729/allen-boyd-jr,House,Florida,Democratic,1997,2011,success
34,"West, Allen B.",Allen B.,West,Allen West,/candidate/124348/allen-west,House,Florida,Republican,2011,2013,success
35,"Schwartz, Allyson Y.",Allyson Y.,Schwartz,Allyson Schwartz,/candidate/5239/allyson-schwartz,House,Pennsylvania,Democratic,2005,2015,success
36,"Adams, Alma S.",Alma S.,Adams,Alma Adams,/candidate/5935/alma-adams,House,North Carolina,Democratic,2014,9999,success
37,"Bera, Ami",Ami,Bera,Ami Bera,/candidate/120030/ami-bera,House,California,Democratic,2013,9999,success
38,"Houghton, Amo",Amo,Houghton,"Amory Houghton, Jr.",/candidate/26995/amory-houghton-jr,House,New York,Republican,1987,2005,success
39,"Klobuchar, Amy",Amy,Klobuchar,Amy Klobuchar,/candidate/65092/amy-klobuchar,Senate,Minnesota,Democratic,2007,9999,success
40,"Crenshaw, Ander",Ander,Crenshaw,Ander Crenshaw,/candidate/31130/ander-crenshaw,House,Florida,Republican,2001,2017,success
41,"Salinas, Andrea",Andrea,Salinas,Andrea Salinas,/candidate/178196/andrea-salinas,House,Oregon,Democratic,2023,9999,success
42,"Seastrand, Andrea H.",Andrea H.,Seastrand,Andrea Seastrand,/candidate/21913/andrea-seastrand,House,California,Republican,1995,1997,success
43,"Ogles, Andrew",Andrew,Ogles,Andy Ogles,/candidate/48673/andy-ogles,House,Tennessee,Republican,2023,9999,success
44,"Garbarino, Andrew R.",Andrew R.,Garbarino,Andrew Garbarino,/candidate/143103/andrew-garbarino,House,New York,Republican,2021,9999,success
45,"Clyde, Andrew S.",Andrew S.,Clyde,Andrew Clyde,/candidate/189770/andrew-clyde,House,Georgia,Republican,2021,9999,success
46,"Jacobs, Andrew, Jr.","Andrew, Jr.",Jacobs,"Andrew Jacobs, Jr.",/candidate/26860/andrew-jacobs-jr,House,Indiana,Democratic,1965,1997,success
47,"Carson, André",André,Carson,André Carson,/candidate/84917/andre-carson,House,Indiana,Democratic,2008,9999,success
48,"Barr, Andy",Andy,Barr,Andy Barr,/candidate/117290/andy-barr,House,Kentucky,Republican,2013,9999,success
49,"Biggs, Andy",Andy,Biggs,Andy Biggs,/candidate/28088/andy-biggs,House,Arizona,Republican,2017,9999,success
50,"Harris, Andy",Andy,Harris,Andy Harris,/candidate/19157/andy-harris,House,Maryland,Republican,2011,9999,success
51,"Levin, Andy",Andy,Levin,Andy Levin,/candidate/66287/andy-levin,House,Michigan,Democratic,2019,2023,success
52,"Alsobrooks, Angela D.",Angela D.,Alsobrooks,Angela Alsobrooks,/candidate/212637/angela-alsobrooks,Senate,Maryland,Democratic,2025,9999,success
53,"Craig, Angie",Angie,Craig,Angie Craig,/candidate/166261/angie-craig,House,Minnesota,Democratic,2019,9999,success
54,"King, Angus S., Jr.","Angus S., Jr.",King,"Angus King, Jr.",/candidate/22381/angus-king-jr,Senate,Maine,Independent,2013,9999,success
55,"Cao, Anh ""Joseph""","Anh ""Joseph""",Cao,Joseph Cao,/candidate/93967/joseph-cao,House,Louisiana,Republican,2009,2011,success
56,"Kirkpatrick, Ann",Ann,Kirkpatrick,Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,House,Arizona,Democratic,2009,2023,success
57,"Wagner, Ann",Ann,Wagner,Ann Wagner,/candidate/136083/ann-wagner,House,Missouri,Republican,2013,9999,success
58,"Kuster, Ann M.",Ann M.,Kuster,Annie Kuster,/candidate/122256/annie-kuster,House,New Hampshire,Democratic,2013,2025,success
59,"Buerkle, Ann Marie",Ann Marie,Buerkle,Ann Marie Buerkle,/candidate/127047/ann-marie-buerkle,House,New York,Republican,2011,2013,success
60,"Eshoo, Anna G.",Anna G.,Eshoo,Anna Eshoo,/candidate/26741/anna-eshoo,House,California,Democratic,1993,2025,success
61,"Luna, Anna Paulina",Anna Paulina,Luna,Anna Luna,/candidate/191344/anna-luna,House,Florida,Republican,2023,9999,success
62,"Northup, Anne M.",Anne M.,Northup,Anne Northup,/candidate/112/anne-northup,House,Kentucky,Republican,1997,2007,success
63,"Brindisi, Anthony",Anthony,Brindisi,Anthony Brindisi,/candidate/135258/anthony-brindisi,House,New York,Democratic,2019,2021,success
64,"D'Esposito, Anthony",Anthony,D'Esposito,Anthony D'Esposito,/candidate/174091/anthony-desposito,House,New York,Republican,2023,2025,success
65,"Gonzalez, Anthony",Anthony,Gonzalez,Anthony Gonzalez,/candidate/178867/anthony-gonzalez,House,Ohio,Republican,2019,2023,success
66,"Beilenson, Anthony C.",Anthony C.,Beilenson,Anthony Beilenson,/candidate/26752/anthony-beilenson,House,California,Democratic,1977,1997,success
67,"Weiner, Anthony D.",Anthony D.,Weiner,Anthony Weiner,/candidate/23162/anthony-weiner,House,New York,Democratic,1999,2011,success
68,"Brown, Anthony G.",Anthony G.,Brown,Anthony Brown,/candidate/19344/anthony-brown,House,Maryland,Democratic,2017,2023,success
