,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
0,"Mikva, Abner J.",Abner J.,Mikva,,,House,Illinois,Democratic,1969,1981,fail-lastname
1,"Ribicoff, Abraham A.",Abraham A.,Ribicoff,,,"House,Senate",Connecticut,Democratic,1949,1981,fail-lastname
2,"Kazen, Abraham, Jr.","Abraham, Jr.",Kazen,,,House,Texas,Democratic,1967,1985,fail-lastname
3,"Smith, Adam",Adam,Smith,,,House,Washington,Democratic,1997,9999,ambiguous
4,"Benjamin, Adam, Jr.","Adam, Jr.",Benjamin,,,House,Indiana,Democratic,1977,1983,fail-firstname
5,"Stevenson, Adlai E., III","Adlai E., III",Stevenson,,,Senate,Illinois,Democratic,1969,1981,fail-firstname
6,"Ullman, Al",Al,Ullman,,,House,Oregon,Democratic,1957,1981,fail-lastname
7,"Bible, Alan",Alan,Bible,,,Senate,Nevada,Democratic,1953,1975,fail-lastname
8,"Cranston, Alan",Alan,Cranston,,,Senate,California,Democratic,1969,1993,fail-lastname
9,"Steelman, Alan",Alan,Steelman,,,House,Texas,Republican,1973,1977,fail-lastname
10,"Dixon, Alan J.",Alan J.,Dixon,,,Senate,Illinois,Democratic,1981,1993,fail-firstname
11,"Simpson, Alan K.",Alan K.,Simpson,,,Senate,Wyoming,Republican,1979,1997,fail-firstname
12,"Quie, Albert H.",Albert H.,Quie,,,House,Minnesota,Republican,1957,1979,fail-lastname
13,"Johnson, Albert W.",Albert W.,Johnson,,,House,Pennsylvania,Republican,1963,1977,fail-firstname
14,"Mooney, Alexander X.",Alexander X.,Mooney,,,House,West Virginia,Republican,2015,2025,only-surname
15,"Howe, Allan",Allan,Howe,,,House,Utah,Democratic,1975,1977,fail-firstname
16,"Ertel, Allen E.",Allen E.,Ertel,,,House,Pennsylvania,Democratic,1977,1983,fail-lastname
17,"Bell, Alphonzo",Alphonzo,Bell,,,House,California,Republican,1961,1977,fail-firstname
18,"Waldon, Alton R., Jr.","Alton R., Jr.",Waldon,,,House,New York,Democratic,1985,1987,fail-lastname
19,"Baldus, Alvin J.",Alvin J.,Baldus,,,House,Wisconsin,Democratic,1975,1981,fail-lastname
20,"Nelsen, Ancher",Ancher,Nelsen,,,House,Minnesota,Republican,1959,1975,fail-lastname
21,"Maguire, Andrew",Andrew,Maguire,,,House,New Jersey,Democratic,1975,1981,only-surname
22,"Young, Andrew",Andrew,Young,,,House,Georgia,Democratic,1973,1979,fail-firstname
23,"Hinshaw, Andrew J.",Andrew J.,Hinshaw,,,House,California,Republican,1973,1977,fail-lastname
24,"Ireland, Andrew P.",Andrew P.,Ireland,,,House,Florida,Republican,1977,1993,fail-firstname
25,"Kim, Andy",Andy,Kim,,,"House,Senate",New Jersey,Democratic,2019,9999,ambiguous
26,"Roncallo, Angelo D.",Angelo D.,Roncallo,,,House,New York,Republican,1973,1975,fail-lastname
27,"Acevedo-Vila, Anibal",Anibal,Acevedo-Vila,,,House,Puerto Rico,Democratic,2001,2005,only-surname
28,"Coelho, Anthony Lee",Anthony Lee,Coelho,,,House,California,Democratic,1979,1991,fail-lastname
29,"Won Pat, Antonio B.",Antonio B.,Won Pat,,,House,Guam,Democratic,1973,1985,only-surname
